deg2 (°),deg3_open (°),deg3_closed (°),deg4_open (°),deg4_closed (°)
0,180,-180,Not possible,Not possible
10,155.7204,-171.9852,162.7235,-178.9883
20,133.6223,-163.9886,147.6012,-177.9675
30,114.9351,-156.0291,135.8344,-176.9284
40,99.8365,-148.1262,127.5713,-175.8611
50,87.9132,-140.3014,122.3669,-174.7552
60,78.5868,-132.5779,119.6083,-173.5993
70,71.3246,-124.9815,118.7239,-172.3808
80,65.7021,-117.5416,119.2463,-171.0858
90,61.4033,-110.2912,120.8108,-169.6987
100,58.2014,-103.2677,123.1358,-168.2022
110,55.9382,-96.5133,126.0021,-166.5771
120,54.5075,-90.0748,129.236,-164.8033
130,53.841,-84.0035,132.6971,-162.8596
140,53.8981,-78.3536,136.2697,-160.7253
150,54.6563,-73.1806,139.858,-158.3823
160,56.1039,-68.5378,143.3829,-155.8168
170,58.2319,-64.4737,146.7812,-153.023
180,61.0285,-61.0285,150.0053,-150.0053
190,64.4737,-58.2319,153.023,-146.7812
200,68.5378,-56.1039,155.8168,-143.3829
210,73.1806,-54.6563,158.3823,-139.858
220,78.3536,-53.8981,160.7253,-136.2697
230,84.0035,-53.841,162.8596,-132.6971
240,90.0748,-54.5075,164.8033,-129.236
250,96.5133,-55.9382,166.5771,-126.0021
260,103.2677,-58.2014,168.2022,-123.1358
270,110.2912,-61.4033,169.6987,-120.8108
280,117.5416,-65.7021,171.0858,-119.2463
290,124.9815,-71.3246,172.3808,-118.7239
300,132.5779,-78.5868,173.5993,-119.6083
310,140.3014,-87.9132,174.7552,-122.3669
320,148.1262,-99.8365,175.8611,-127.5713
330,156.0291,-114.9351,176.9284,-135.8344
340,163.9886,-133.6223,177.9675,-147.6012
350,171.9852,-155.7204,178.9883,-162.7235
360,180,-180,Not possible,Not possible
